Datetime,open,close,high,low,volume,float,StockSymbol
07/09/2007,11.41773224,11.41773224,11.51922321,11.36698627,144790,92352576,FPT
10/09/2007,11.36698627,11.31624126,11.41773224,11.2654953,147010,92352576,FPT
11/09/2007,11.31624126,11.31624126,11.36698627,11.31624126,149540,92352576,FPT
12/09/2007,11.31624126,11.31624126,11.31624126,11.21475029,165190,92352576,FPT
13/09/2007,11.31624126,11.31624126,11.31624126,11.21475029,187850,92352576,FPT
14/09/2007,11.31624126,11.41773224,11.41773224,11.2654953,216470,92352576,FPT
17/09/2007,11.31624126,11.36698627,11.41773224,11.2654953,202530,92352576,FPT
18/09/2007,11.2654953,11.2654953,11.31624126,11.2654953,141940,92352576,FPT
19/09/2007,11.2654953,11.31624126,11.31624126,11.2654953,181030,92352576,FPT
20/09/2007,11.31624126,11.41773224,11.46847725,11.31624126,199410,92352576,FPT
21/09/2007,11.51922321,11.56996822,11.56996822,11.46847725,285620,92352576,FPT
24/09/2007,11.82369614,12.12816906,12.12816906,11.77295017,309830,92352576,FPT
25/09/2007,12.68636894,12.68636894,12.68636894,12.43264198,514880,92352576,FPT
26/09/2007,13.19382381,12.68636894,13.19382381,12.43264198,507520,92352576,FPT
27/09/2007,12.68636894,13.19382381,13.19382381,12.63562393,471650,92352576,FPT
28/09/2007,13.59978771,13.85351467,13.85351467,13.44755077,537020,92352576,FPT
01/10/2007,14.51320648,14.51320648,14.51320648,14.36096954,488930,92352576,FPT
02/10/2007,15.2236433,15.02066135,15.2236433,14.71618843,882920,92352576,FPT
03/10/2007,15.27438831,15.27438831,15.27438831,15.02066135,713370,92352576,FPT
04/10/2007,14.96991539,14.96991539,15.12215233,14.96991539,401260,92352576,FPT
05/10/2007,14.51320648,14.25947857,14.66544247,14.25947857,420620,92352576,FPT
08/10/2007,14.31058788,14.00393295,14.3616972,14.00393295,358530,92352576,FPT
09/10/2007,14.31058788,14.66835308,14.66835308,14.05504227,273910,92352576,FPT
